Scaled Voltage,Raw Voltage,Scaled Current,Raw Current,Balancing,Voltage Offset,Adjusted Voltage,10ms Avg. Voltage,10ms Avg. Current,Vset Changed
3.80019283,8500699,3.28366399,12795866,true,0.321058601,4.12268591,3.80001688,3.28427267,false
3.7998786,8499996,3.28280735,12794716,false,0.321058601,4.12268591,3.79999804,3.28416252,false
3.79975343,8499716,3.28382683,12796084,true,0.321280479,4.12290812,3.79996991,3.28417826,false
3.79997158,8500204,3.28356552,12795734,false,0.321280479,4.12290812,3.79995108,3.28421021,false
3.80006552,8500414,3.28395653,12796259,false,0.321280479,4.12290812,3.79994893,3.28405499,false
3.80029678,8500931,3.28549671,12798326,true,0.321013331,4.12264061,3.80000043,3.28440666,false
3.80003405,8500344,3.2829361,12794889,false,0.321013331,4.12264061,3.79998446,3.28417444,false
3.80000067,8500269,3.28586221,12798816,false,0.321013331,4.12264061,3.79999495,3.28432727,false
3.79979777,8499815,3.28447342,12796952,true,0.321195304,4.12282276,3.79998279,3.28417969,false
3.80015707,8500619,3.28523755,12797978,true,0.321053892,4.12268114,3.80001497,3.28418279,false
3.79999113,8500248,3.28248453,12794283,false,0.321053892,4.12268114,3.79999471,3.28406453,false
3.79992676,8500104,3.28263044,12794479,false,0.321053892,4.12268114,3.79999924,3.28404689,false
3.79989243,8500027,3.28375101,12795983,false,0.321053892,4.12268114,3.8000133,3.28403926,false
3.79980636,8499834,3.2825768,12794407,true,0.321228117,4.12285566,3.79999685,3.28394055,false
3.79984069,8499911,3.28376889,12796007,true,0.321371466,4.12299871,3.79997444,3.28392172,false
3.7999897,8500245,3.28364897,12795846,false,0.321371466,4.12299871,3.79994345,3.28373718,false
3.80013251,8500564,3.28397632,12796285,true,0.321252167,4.12287951,3.79995346,3.28384089,false
3.80024123,8500807,3.28416634,12796540,true,0.321035028,4.12266254,3.79997754,3.28367162,false
3.80009675,8500484,3.28611088,12799150,false,0.321035028,4.12266254,3.80000734,3.28383517,false
3.79959893,8499370,3.28430223,12796723,true,0.321395934,4.12302399,3.79995155,3.28374171,false
3.80030823,8500957,3.28303814,12795026,true,0.321118474,4.12274599,3.79998326,3.28379703,false
3.79979491,8499809,3.28498602,12797640,true,0.32130301,4.12293053,3.79997015,3.28403234,false
3.79992199,8500093,3.28466415,12797208,false,0.32130301,4.12293053,3.79997301,3.2841239,false
3.80020905,8500735,3.28730774,12800756,true,0.321114838,4.12274218,3.8000133,3.28459692,false
3.79997158,8500204,3.28464508,12797183,false,0.321114838,4.12274218,3.80002642,3.28468466,false
3.80008388,8500455,3.28476906,12797349,false,0.321114838,4.12274218,3.80003595,3.28479648,false
3.80012751,8500553,3.28622293,12799300,false,0.321114838,4.12274218,3.80003548,3.28502131,false
3.80008888,8500466,3.2847929,12797381,false,0.321114838,4.12274218,3.80002022,3.28508377,false
3.80016041,8500626,3.28521132,12797943,true,0.320970416,4.12259769,3.80002642,3.28499413,false
3.79981804,8499861,3.28461695,12797145,true,0.32113415,4.12276173,3.80004835,3.28502536,false
3.79992652,8500103,3.28619766,12799267,false,0.32113415,4.12276173,3.8000102,3.28534126,false
3.79999661,8500260,3.28323555,12795291,false,0.32113415,4.12276173,3.80003047,3.28516626,false
3.80012703,8500552,3.28472257,12797287,false,0.32113415,4.12276173,3.80005074,3.28517222,false
3.8000145,8500300,3.28498721,12797642,false,0.32113415,4.12276173,3.80003119,3.28494,false
3.80007696,8500440,3.28236699,12794125,false,0.32113415,4.12276173,3.80004191,3.28471231,false
3.80035996,8501073,3.28508902,12797779,true,0.320810139,4.12243748,3.80006933,3.28474426,false
3.79976344,8499738,3.28520489,12797934,true,0.321022987,4.12265062,3.80003309,3.28464246,false
3.80009604,8500482,3.28351259,12795663,false,0.321022987,4.12265062,3.80003405,3.28451467,false
3.79987073,8499978,3.2813282,12792731,false,0.321022987,4.12265062,3.80000496,3.28412628,false
3.79985356,8499940,3.28463912,12797175,true,0.321154743,4.12278223,3.8000083,3.28412867,false
3.80000067,8500269,3.28602743,12799038,false,0.321154743,4.12278223,3.80001593,3.2841115,false
3.79995155,8500159,3.28274298,12794630,false,0.321154743,4.12278223,3.8000114,3.28406215,false
3.79992247,8500094,3.28651953,12799699,false,0.321154743,4.12278223,3.79999089,3.28424191,false
3.79991579,8500079,3.28455567,12797063,false,0.321154743,4.12278223,3.79998088,3.28419876,false
3.80007124,8500427,3.28556252,12798414,false,0.321154743,4.12278223,3.79998064,3.284518,false
3.80029678,8500931,3.28179717,12793360,true,0.320887595,4.1225152,3.79997396,3.28418875,false
3.79981041,8499843,3.28372359,12795946,true,0.321058184,4.12268543,3.79997897,3.28404093,false
3.79982328,8499872,3.28439116,12796842,true,0.321217179,4.1228447,3.79995155,3.28412867,false
3.79993224,8500116,3.28539419,12798188,false,0.321217179,4.1228447,3.79995775,3.28453517,false
3.80007696,8500440,3.28449011,12796975,false,0.321217179,4.1228447,3.79998016,3.28452039,false
3.80001307,8500297,3.28509617,12797788,false,0.321217179,4.1228447,3.79998136,3.28442717,false
3.79998016,8500223,3.28330231,12795380,false,0.321217179,4.1228447,3.79998446,3.28448343,false
3.80018401,8500679,3.28513265,12797837,true,0.321051538,4.12267876,3.8000102,3.28434443,false
3.80001926,8500310,3.28362703,12795816,false,0.321051538,4.12267876,3.80002069,3.28425169,false
3.80003953,8500356,3.28389835,12796180,false,0.321051538,4.12267876,3.8000176,3.28408504,false
3.79985046,8499933,3.28530502,12798068,true,0.321186066,4.1228137,3.79997301,3.28443599,false
3.80008888,8500466,3.28417587,12796553,false,0.321186066,4.1228137,3.80000067,3.28448153,false
3.79984951,8499931,3.28456354,12797073,true,0.321321458,4.12294865,3.80000353,3.28449869,false
3.80008531,8500458,3.28348827,12795630,false,0.321321458,4.12294865,3.80001879,3.28430796,false
3.80003381,8500343,3.28447056,12796948,false,0.321321458,4.12294865,3.8000145,3.28430605,false
3.8003571,8501066,3.28249884,12794302,true,0.32100001,4.12262726,3.80004883,3.28404617,false
3.80013657,8500573,3.28160524,12793103,true,0.320877045,4.12250423,3.80006456,3.28387642,false
3.799685,8499563,3.28361869,12795805,true,0.321160495,4.12278795,3.8000145,3.28372502,false
3.80003786,8500352,3.28409791,12796448,false,0.321160495,4.12278795,3.8000164,3.28377223,false
3.80006814,8500420,3.28520656,12797936,false,0.321160495,4.12278795,3.80001903,3.28390312,false
3.79992247,8500094,3.28344107,12795567,false,0.321160495,4.12278795,3.80002642,3.28371668,false
3.80000782,8500285,3.28422356,12796617,false,0.321160495,4.12278795,3.80001831,3.28372145,false
3.79982424,8499874,3.28463554,12797170,true,0.321318626,4.12294626,3.80001569,3.28372884,false
3.79943705,8499008,3.29174638,12806714,true,0.321825236,4.12345314,3.79995084,3.28455424,false
3.80003381,8500343,3.28955936,12803779,false,0.321825236,4.12345314,3.79995084,3.28506327,false
3.79955053,8499262,3.29685688,12813573,true,0.322229713,4.1238575,3.79987025,3.28649902,false
3.79988217,8500004,3.299932,12817700,false,0.322229713,4.1238575,3.79984474,3.28833151,false
3.80047154,8501322,3.28991652,12804258,true,0.321805269,4.12343311,3.79992366,3.28896141,false
3.80003452,8500345,3.28659058,12799794,false,0.321805269,4.12343311,3.79992342,3.2892108,false
3.80016422,8500635,3.2896452,12803894,true,0.321657419,4.12328529,3.79993296,3.28965449,false
3.80010247,8500497,3.2886076,12802501,false,0.321657419,4.12328529,3.79995084,3.29017138,false
